姓名,职务,职称,核心研究方向,简介（30字内）,详细介绍（300字以内）,照片,课题,论文,专著,专利,软著,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杨静,实验室主任,教授,出土医学文献文物数字保护研究,研究领域：中医哲学与生命伦理,"成都中医药大学党委副书记，教授，博士生导师，国务院政府特殊津贴专家，四川省“天府青城计划”（“万人计划”）创新领军人才。先后担任成都中医药大学附属医院（四川省中医院）党委书记、成都中医药大学副校长，现任成都中医药大学党委副书记。兼任四川省社科重点实验室主任，中国哲学史学会中医哲学专委会副会长、中华中医药学会健康管理分会副主任委员、世界中医药学会联合会中医药文化专委会副会长。
主持国家社科基金、教育部项目、国家中医药管理局项目等国家级、部省级科研项目20余项。先后担任全国中医药行业规划教材主编、全国中医药研究生核心课程规划教材主编等。研究成果获中华中医药学会科学技术奖二等奖2项、全国中医药高等教育学会一等奖、四川省人民政府教学成果奖一等奖、四川省哲学社会科学优秀成果二等奖等10余项。",√,中医生命伦理思想史研究,《资本论》内蕴的生命伦理批判,杏林选粹：巴蜀地区民间医药调查与保护利用,中医古籍知识图谱构建方法、设备、介质,《天回医简》数据库软件V1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,出土医学简帛数据库的构建及模式研究,龙门石刻药方灸法应用特点探析,"中医哲学基础
（全国中医药研究生核心课程规划教材）",中医古籍异体字字典构建及文本对齐方法、系统和介质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,医学文物文献数据知识发现软件平台研发,生生之道与中医学生命观,,基于大语言模型的中医古籍症状标准化处理方法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,新医科背景下医学人文教育模式构建与推广应用研究,技术、资本与身体：医学美容整形的伦理审思,,多层次中医古籍症状标准化处理方法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,基于时序知识图谱的中医生命伦理思想演化研究,道家生生思想视野下中医生命伦理思想刍议,,小样本中医古籍标注模型适配方法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,胆黄连的炮制历史沿革及现代研究进展 ,,中医古籍隐含语义与显式术语的关联方法、系统和介质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,隋唐时期香文化对中医学的影响,,融合多维度上下文进行模型自适应优化的中医古籍标注方法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,中医“仁和精诚”生命观融入医学生生命教育的价值意蕴与实践路径,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,生生之道下孙思邈生命伦理思想发微,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,《天回医简》“通天”观探析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,中医古籍指代关系语料库的构建与指代消解方法研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
柳长华,智能数据库构建分实验室主任,教授,出土医学文献与文物研究,出土医学文献与文物研究、中医古籍整理与古籍数字化研究、传统医药非物质文化遗产与传统知识保护研究专家。近几年，在主持国家中医药管理局、国家文物局“天回医简”研究中，以辨彰学术，考镜源流的敏锐眼光，证明其学出扁仓医学。,"柳长华，山东淄博人，现任成都中医药大学中国出土医学文献与文物研究院特聘教授、院长，博士研究生导师，入选国家“百千万人才”国家级人选，四川省千人计划专家。曾任山东中医药大学教授，中国中医科学院中国医史文献研究所教授、所长。  
2014年主持国家中医药管理局、国家文物局成都天回汉墓医简研究，以辨章学术、考镜源流的敏锐眼光，证明其学出扁仓医学。主编《天回医简》一书，获全国古籍出版社百佳图书（2022年）一等奖。国家社科基金冷门绝学研究专项学术团队首席专家，主持四川省社科基金特别重大委托项目、重大学术工程等多项国家级、省部级项目。",√,天回医简研究,从《天回医简》看汉晋医经的编撰,天回医简,,《天回医简》数据库软件V1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,《天回医简》研究,三世医学新论,中医百部经典（影印本）第二辑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,天回汉墓髹漆经脉人像研究,犮石考——有关先秦医学史的探索,杏林选粹：巴蜀地区民间医药调查与保护利用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,“荆州胡家草场12号西汉墓出土简牍整理与研究”子项目“医方、杂方的整理与研究”,从出土医学文献看《黄帝内经》中的经脉系统,《天回医简》线装本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,“道教医学经典的整理与研究 ”子项目“道教医学外丹术经典的整理与研究”,五运六气理论对刘完素医学理论体系的影响,中医百部经典（影印本）第三辑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,出土医学文献与文物研究,汉代出土医简汤液医学考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,出土医学简帛数据库构建研究,论中医药话语体系的构建及语言学的价值内涵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,《天回医简》比类取象名物研究,始源与应用：天学与术数学知识视域下的针灸“身体图式”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,出土医学简帛数据库的构建及模式研究,天回医简中的犮法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,医药考古视域下的川派中医溯源研究——以四川地区汉代墓葬材料为中心,《素问》中《水热穴论篇》《骨空论篇》腧穴分类考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,从简帛医方文献论汤液与本草渊源关系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,巴蜀医家张觉人稿本《外科问答》学术思想探析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,天回汉墓医简《脉书·上经》简三七的编联及对风气致病传变规律的研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,天回医简《脉书·上经》“豆”字考及其脉象研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,论汉代卦气说视角下时令节气的疾病思想,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,秦汉出土医方学术性质、传播流散与演进脉络研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,《脉书·上经》中四时疾病系统探析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,《天回医简〈脉书·上经〉》之“脉句”与带钩浅议,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,《脉书·上经》重要语句三题,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,《天回医简》诊损至脉相关词义新证,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,天回医简《脉书·下经》汤液疾病特色探析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,唐代社会背景视域下孙思邈医学形成考论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,先秦时期巫与巫医刍论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,汉代“八风占”与《灵枢·九宫八风》中的“八风”思想 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,简帛医书中金石类药物的应用特点及研究价值,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,四川成都“天回医简”考古发现现实意义謭论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,新石器时期的巫与巫医初论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,《天回医简》文中之训诂研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
温川飙,数字研究分实验室主任,研究员,古籍数字化,长期从事医学智能、中西医结合大数据、健康穿戴设备研究,研究员，现任中国中医药信息研究会云健康分会会长、中医药专业委员会主任委员。承担重大项目“穴位敏化关键技术智能装备”的研究，开展了穴位敏化诊疗设备的研究。带领团队开发“基于大数据的循证针灸临床决策支持平台”获得四川省科学技术一等奖，并开展“脑电波技术及其在针刺临床研究中的作用”、“针灸治疗中风病临床辨证的一种算法模型探索”、“基于STM32的可穿戴式中医电针治疗仪系统设计”、“基于艾灸作用机制探讨现代灸器的研制现状”等算法的创新研究。,√,基于数据湖技术的疾病主客观征象及生物信息“分层关联网络”的发现及算法研究—糖尿病为例,中医古籍指代关系语料库的构建与指代消解方法研究,"医学信息安全
（全国高等学校教材）",一种基于面部视觉的多模态融合中医体质判别方法及系统,基于中医症状、信息量表和智能交互问诊的数据归一化分层处理系统V1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,中医药AI模型高质量数据集,A Traditional Chinese Medicine Syndrome Classification Model Based on Cross-Feature Generation by Convolution Neural Network: Model Development and Validation,医学图形图像处理,一种基于计算机视觉的面部视频判别中医气血系统,中医文献分析与实体关系标注系统V1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,医学出土文物数字化挖掘及分析,A novel tongue segmentation method based on improved U-Net,数字医疗概论,中医古籍知识图谱构建方法、设备、介质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,基于时序知识图谱的中医生命伦理思想演化研究,Global trends in intestinal flora and ulcerative colitis research during the past 10 years: A bibliometric analysis,,基于多波长光源的面部视频判别中医脉象的系统及方法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Medical prediction from missing data with max-minus negative regularized dropout,,中医古籍异体字字典构建及文本对齐方法、系统和介质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Glucose trend prediction model based on improved wavelet transform and gated recurrent unit,,基于大语言模型的中医古籍症状标准化处理方法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Luteolin, a flavone ingredient: Anticancer mechanisms, combined medication strategy, pharmacokinetics, clinical trials, and pharmaceutical researches",,多层次中医古籍症状标准化处理方法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
